source_file,definition,scope,policy_description,reference,agent_stage_primary,agent_stage_secondary,agent_stage_reason
OWASP_ASVS.json,logged data || protection level,All applications logging sensitive data.,"Verify that when logging sensitive data, the application enforces logging based on the data’s protection level. For example, it may not be allowed to log certain data, such as credentials or payment details. Other data, such as session tokens, may only be logged by being hashed or masked, either in full or partially.",Application Security Verification Standard May 2025,Action/Tool Use,Observation; Evaluation/Reflection,Primary cues: \btoken(s)?\b.
OWASP_ASVS.json,security events || application logging,All applications logging security events.,"Verify that all authentication operations are logged, including successful and unsuccessful attempts. Additional metadata, such as the type of authentication or factors used, should also be collected.",Application Security Verification Standard May 2025,Observation,Memory Update; Evaluation/Reflection,Primary cues: \blog(?:ging)?\b.
OWASP_ASVS.json,failed authorization attempts || sensitive data,All applications handling authorization.,"Verify that failed authorization attempts are logged. For Level 3, this must include logging all authorization decisions, including logging when sensitive data is accessed (without logging the sensitive data itself).",Application Security Verification Standard May 2025,Action/Tool Use,Observation; Evaluation/Reflection,Primary cues: \bauthorization\b.
OWASP_ASVS.json,security events || security controls,All applications logging security events.,"Verify that the application logs the security events that are defined in the documentation and also logs attempts to bypass the security controls, such as input validation, business logic, and anti-automation.",Application Security Verification Standard May 2025,Perception/Input,Observation; Memory Update,Primary cues: \binput validation\b.
OWASP_ASVS.json,unexpected errors || security control failures,All applications handling errors.,Verify that the application logs unexpected errors and security control failures such as backend TLS failures.,Application Security Verification Standard May 2025,Action/Tool Use,Evaluation/Reflection,Primary cues: \bTLS|DTLS|WSS\b.
OWASP_ASVS.json,log injection || logging components,All applications generating logs.,Verify that all logging components appropriately encode data to prevent log injection.,Application Security Verification Standard May 2025,Perception/Input,Observation; Evaluation/Reflection,Primary cues: \binjection\b.
OWASP_ASVS.json,unauthorized access || logs,All applications generating logs.,Verify that logs are protected from unauthorized access and cannot be modified.,Application Security Verification Standard May 2025,Evaluation/Reflection,,Primary cues: \bverif(?:y|ication)\b.
OWASP_ASVS.json,logs || secure transmission,All applications transmitting logs.,"Verify that logs are securely transmitted to a logically separate system for analysis, detection, alerting, and escalation. The aim is to ensure that if the application is breached, the logs are not compromised.",Application Security Verification Standard May 2025,Observation,Evaluation/Reflection,"Primary cues: \bdetect(?:ion)?\b, \balert(?:ing)?\b."
OWASP_ASVS.json,generic message || sensitive internal details,All applications handling errors.,"Verify that a generic message is returned to the consumer when an unexpected or security-sensitive error occurs, ensuring no exposure of sensitive internal system data such as stack traces, queries, secret keys, and tokens.",Application Security Verification Standard May 2025,Action/Tool Use,Evaluation/Reflection,Primary cues: \btoken(s)?\b.
OWASP_ASVS.json,external resource access || secure operation,All applications accessing external resources.,"Verify that the application continues to operate securely when external resource access fails, for example, by using patterns such as circuit breakers or graceful degradation.",Application Security Verification Standard May 2025,Evaluation/Reflection,,Primary cues: \bverif(?:y|ication)\b.
OWASP_ASVS.json,graceful failure || exception handling,All applications handling exceptions.,"Verify that the application fails gracefully and securely, including when an exception occurs, preventing fail-open conditions such as processing a transaction despite errors resulting from validation logic.",Application Security Verification Standard May 2025,Evaluation/Reflection,,Primary cues: \bverif(?:y|ication)\b.
OWASP_ASVS.json,last resort error handler || unhandled exceptions,All applications handling exceptions.,"Verify that a 'last resort' error handler is defined which will catch all unhandled exceptions. This is both to avoid losing error details that must go to log files and to ensure that an error does not take down the entire application process, leading to a loss of availability.",Application Security Verification Standard May 2025,Observation,Evaluation/Reflection,Primary cues: \blog(?:ging)?\b.
OWASP_ASVS.json,WebRTC || real-time communication,All applications utilizing WebRTC.,"Web Real-Time Communication (WebRTC) enables real-time voice, video, and data exchange in modern applications. As adoption increases, securing WebRTC infrastructure becomes critical.",Application Security Verification Standard May 2025,Evaluation/Reflection,,Primary cues: \bverif(?:y|ication)\b.
OWASP_ASVS.json,TURN service || IP addresses,All applications operating TURN servers.,"Verify that the Traversal Using Relays around NAT (TURN) service only allows access to IP addresses that are not reserved for special purposes (e.g., internal networks, broadcast, loopback). Note that this applies to both IPv4 and IPv6 addresses.",Application Security Verification Standard May 2025,Evaluation/Reflection,,Primary cues: \bverif(?:y|ication)\b.
OWASP_ASVS.json,resource exhaustion || TURN server,All applications operating TURN servers.,Verify that the Traversal Using Relays around NAT (TURN) service is not susceptible to resource exhaustion when legitimate users attempt to open a large number of ports on the TURN server.,Application Security Verification Standard May 2025,Evaluation/Reflection,,Primary cues: \bverif(?:y|ication)\b.
OWASP_ASVS.json,media servers || WebRTC,All applications hosting their own WebRTC media servers.,Verify that the media server is configured to use and support approved Datagram Transport Layer Security (DTLS) cipher suites and a secure protection profile for the DTLS Extension for establishing keys for the Secure Real-time Transport Protocol (DTLS-SRTP).,Application Security Verification Standard May 2025,Action/Tool Use,,"Primary cues: \bextension(s)?\b, \bconfigure|configuration\b, \bTLS|DTLS|WSS\b."
OWASP_ASVS.json,SRTP authentication || media server,All applications hosting their own WebRTC media servers.,Verify that Secure Real-time Transport Protocol (SRTP) authentication is checked at the media server to prevent Real-time Transport Protocol (RTP) injection attacks from leading to either a Denial of Service condition or audio or video media insertion into media streams.,Application Security Verification Standard May 2025,Perception/Input,Evaluation/Reflection,Primary cues: \binjection\b.
OWASP_ASVS.json,malformed SRTP packets || media server,All applications hosting their own WebRTC media servers.,Verify that the media server is able to continue processing incoming media traffic when encountering malformed Secure Real-time Transport Protocol (SRTP) packets.,Application Security Verification Standard May 2025,Evaluation/Reflection,,Primary cues: \bverif(?:y|ication)\b.
OWASP_ASVS.json,flood of SRTP packets || media server,All applications hosting their own WebRTC media servers.,Verify that the media server is able to continue processing incoming media traffic during a flood of Secure Real-time Transport Protocol (SRTP) packets from legitimate users.,Application Security Verification Standard May 2025,Evaluation/Reflection,,Primary cues: \bverif(?:y|ication)\b.
OWASP_ASVS.json,ClientHello race condition || DTLS,All applications hosting their own WebRTC media servers.,Verify that the media server is not susceptible to the 'ClientHello' Race Condition vulnerability in Datagram Transport Layer Security (DTLS) by checking if the media server is publicly known to be vulnerable or by performing the race condition test.,Application Security Verification Standard May 2025,Evaluation/Reflection,,"Primary cues: \bverif(?:y|ication)\b, \btest(?:ing)?\b, \bvulnerabilit(?:y|ies)\b."
OWASP_ASVS.json,signaling server || peer-to-peer communication,All applications operating their own WebRTC signaling servers.,Verify that the signaling server is able to continue processing legitimate incoming signaling messages during a flood attack. This should be achieved by implementing rate limiting at the signaling level.,Application Security Verification Standard May 2025,Evaluation/Reflection,,Primary cues: \bverif(?:y|ication)\b.
OWASP_ASVS.json,malformed signaling messages || signaling server,All applications operating their own WebRTC signaling servers.,"Verify that the signaling server is able to continue processing legitimate signaling messages when encountering malformed signaling messages that could cause a denial of service condition. This could include implementing input validation, safely handling integer overflows, preventing buffer overflows, and employing other robust error-handling techniques.",Application Security Verification Standard May 2025,Perception/Input,Evaluation/Reflection,Primary cues: \binput validation\b.
cwe25.json,"Improper Input Validation: The product receives input or data, but it does not validate or incorrectly validates that the input has the properties that are required to process the data safely and correctly.",All users and entities interacting with the product.,The product must validate all input data to ensure it meets the required properties for safe processing.,CWE-ID: 20 | Name: Improper Input Validation,Perception/Input,,Primary cues: \binput validation\b.
cwe25.json,Path Traversal: The product uses external input to construct a pathname that is intended to identify a file or directory that is located underneath a restricted parent directory.,All users and entities accessing file systems through the product.,The product must properly neutralize special elements within the pathname to prevent path traversal vulnerabilities.,CWE-ID: 22 | Name: Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),Evaluation/Reflection,,Primary cues: \bvulnerabilit(?:y|ies)\b.
cwe25.json,Command Injection: The product constructs all or part of a command using externally-influenced input from an upstream component.,All users and entities that can influence command execution.,The product must neutralize special elements in commands to prevent command injection vulnerabilities.,CWE-ID: 77 | Name: Improper Neutralization of Special Elements used in a Command ('Command Injection'),Perception/Input,Action/Tool Use; Evaluation/Reflection,Primary cues: \binjection\b.
cwe25.json,OS Command Injection: The product constructs all or part of an OS command using externally-influenced input.,All users and entities that can influence OS command execution.,The product must neutralize special elements in OS commands to prevent OS command injection vulnerabilities.,CWE-ID: 78 | Name: Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),Perception/Input,Action/Tool Use; Evaluation/Reflection,Primary cues: \binjection\b.
cwe25.json,Cross-site Scripting (XSS): The product does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page.,All users and entities interacting with web pages generated by the product.,The product must properly neutralize user input before including it in web page outputs to prevent XSS vulnerabilities.,CWE-ID: 79 | Name: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),Perception/Input,Evaluation/Reflection,Primary cues: \buser input\b.
cwe25.json,SQL Injection: The product constructs all or part of an SQL command using externally-influenced input.,All users and entities that can influence SQL command execution.,The product must neutralize special elements in SQL commands to prevent SQL injection vulnerabilities.,CWE-ID: 89 | Name: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),Perception/Input,Action/Tool Use; Evaluation/Reflection,Primary cues: \binjection\b.
cwe25.json,Code Injection: The product constructs all or part of a code segment using externally-influenced input.,All users and entities that can influence code execution.,The product must neutralize special elements in code segments to prevent code injection vulnerabilities.,CWE-ID: 94 | Name: Improper Control of Generation of Code ('Code Injection'),Perception/Input,Action/Tool Use; Evaluation/Reflection,Primary cues: \binjection\b.
cwe25.json,Buffer Overflow: The product copies an input buffer to an output buffer without verifying that the size of the input buffer is less than the size of the output buffer.,All users and entities interacting with memory management functions.,The product must verify buffer sizes before copying to prevent buffer overflow vulnerabilities.,CWE-ID: 120 | Name: Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),Evaluation/Reflection,,"Primary cues: \bverif(?:y|ication)\b, \bvulnerabilit(?:y|ies)\b."
cwe25.json,"Out-of-bounds Write: The product writes data past the end, or before the beginning, of the intended buffer.",All users and entities interacting with memory management functions.,The product must ensure that all write operations respect buffer boundaries to prevent out-of-bounds write vulnerabilities.,CWE-ID: 787 | Name: Out-of-bounds Write,Evaluation/Reflection,,Primary cues: \bvulnerabilit(?:y|ies)\b.
cwe25.json,Use After Free: The product reuses or references memory after it has been freed.,All users and entities interacting with memory management functions.,The product must not reference or reuse memory after it has been freed to prevent use-after-free vulnerabilities.,CWE-ID: 416 | Name: Use After Free,Evaluation/Reflection,,Primary cues: \bvulnerabilit(?:y|ies)\b.
cwe25.json,Server-Side Request Forgery (SSRF): The web server receives a URL or similar request from an upstream component and retrieves the contents of this URL.,All users and entities that can influence URL requests.,The product must validate that requests are sent to expected destinations to prevent SSRF vulnerabilities.,CWE-ID: 918 | Name: Server-Side Request Forgery (SSRF),Perception/Input,Evaluation/Reflection,Primary cues: \burl\b.
cwe25.json,Deserialization of Untrusted Data: The product deserializes untrusted data without sufficiently ensuring that the resulting data will be valid.,All users and entities that can influence data serialization and deserialization.,The product must validate data during deserialization to prevent vulnerabilities from untrusted data.,CWE-ID: 502 | Name: Deserialization of Untrusted Data,Evaluation/Reflection,,Primary cues: \bvulnerabilit(?:y|ies)\b.
cwe25.json,Improper Access Control: The product does not restrict or incorrectly restricts access to a resource from an unauthorized actor.,All users and entities accessing resources.,The product must enforce proper access control mechanisms to prevent unauthorized access to resources.,CWE-ID: 284 | Name: Improper Access Control,Action/Tool Use,,Primary cues: \baccess controls?\b.
cwe25.json,Missing Authentication for Critical Function: The product does not perform any authentication for functionality that requires a provable user identity.,All users and entities accessing critical functions.,The product must require authentication for all critical functions to ensure user identity is verified.,CWE-ID: 306 | Name: Missing Authentication for Critical Function,Action/Tool Use,,No strong agent-lifecycle cues; defaulted to concrete action/tool execution.
cwe25.json,Cross-Site Request Forgery (CSRF): The web application does not sufficiently verify whether a request was intentionally provided by the user.,All users and entities interacting with web applications.,The product must implement measures to verify user intent for requests to prevent CSRF vulnerabilities.,CWE-ID: 352 | Name: Cross-Site Request Forgery (CSRF),Evaluation/Reflection,Action/Tool Use,"Primary cues: \bverif(?:y|ication)\b, \bvulnerabilit(?:y|ies)\b."
cwe25.json,Exposure of Sensitive Information: The product exposes sensitive information to an actor that is not explicitly authorized.,All users and entities accessing sensitive information.,The product must ensure that sensitive information is not exposed to unauthorized actors.,CWE-ID: 200 | Name: Exposure of Sensitive Information to an Unauthorized Actor,Action/Tool Use,,No strong agent-lifecycle cues; defaulted to concrete action/tool execution.
cwe25.json,Authorization Bypass: The system's authorization functionality does not prevent one user from gaining access to another user's data.,All users and entities accessing user data.,The product must enforce strict authorization checks to prevent unauthorized access to user data.,CWE-ID: 639 | Name: Authorization Bypass Through User-Controlled Key,Action/Tool Use,,Primary cues: \bauthorization\b.
cwe25.json,Allocation of Resources Without Limits: The product allocates resources without imposing intended restrictions.,All users and entities interacting with resource allocation.,The product must impose limits on resource allocation to prevent abuse and denial of service.,CWE-ID: 770 | Name: Allocation of Resources Without Limits or Throttling,Action/Tool Use,,No strong agent-lifecycle cues; defaulted to concrete action/tool execution.
sp800-218.json,Secure Software Development Framework (SSDF): A set of high-level secure software development practices that can be integrated into each Software Development Life Cycle (SDLC) implementation.,"Applicable to all organizations involved in software development, regardless of size or sector.",Organizations should integrate the SSDF throughout their existing software development practices.,NIST Special Publication 800-218,Action/Tool Use,,No strong agent-lifecycle cues; defaulted to concrete action/tool execution.
sp800-218.json,Residual vulnerabilities: Vulnerabilities that remain in software releases after initial development and testing.,Applicable to all software releases produced by the organization.,Organizations should identify residual vulnerabilities in their software releases and respond appropriately to address those vulnerabilities and prevent similar ones from occurring in the future.,NIST Special Publication 800-218,Evaluation/Reflection,,"Primary cues: \btest(?:ing)?\b, \bvulnerabilit(?:y|ies)\b."
sp800-218.json,Sensitive data: Any data that must be protected from unauthorized access to safeguard the privacy or security of an individual or organization.,Applicable to all software development environments and processes.,Organizations should protect all components of their software from tampering and unauthorized access.,NIST Special Publication 800-218,Action/Tool Use,,No strong agent-lifecycle cues; defaulted to concrete action/tool execution.
sp800-218.json,Software acquirers: Entities that procure software from developers or vendors.,Applicable to all software acquisition processes within the organization.,Organizations should express their secure software development requirements to third-party suppliers using SSDF conventions.,NIST Special Publication 800-218,Action/Tool Use,,No strong agent-lifecycle cues; defaulted to concrete action/tool execution.
sp800-218.json,"Development environment: The environment in which software is developed, including all tools and processes used.",Applicable to all development environments used by the organization.,"Organizations should ensure that their people, processes, and technology are prepared to perform secure software development.",NIST Special Publication 800-218,Action/Tool Use,,No strong agent-lifecycle cues; defaulted to concrete action/tool execution.
sp800-218.json,"Software development life cycle (SDLC): A process for planning, creating, testing, and deploying software.",Applicable to all software development projects undertaken by the organization.,Secure software development practices should be integrated throughout the SDLC to reduce vulnerabilities.,NIST Special Publication 800-218,Evaluation/Reflection,Reasoning/Planning,"Primary cues: \btest(?:ing)?\b, \bvulnerabilit(?:y|ies)\b."
sp800-218.json,"Provenance: The chronology of the origin, development, ownership, location, and changes to a system or system component.",Applicable to all software components and releases.,"Organizations should collect, safeguard, maintain, and share provenance data for all components of each software release.",NIST Special Publication 800-218,Memory Update,,"Primary cues: \bprovenance data\b, \bmaintain\b, \bshare provenance\b."
sp800-218.json,Code signing: A process that uses cryptographic techniques to verify the authenticity and integrity of software.,Applicable to all software releases produced by the organization.,Organizations should use code signing to help protect the integrity of executables.,NIST Special Publication 800-218,Evaluation/Reflection,,Primary cues: \bverif(?:y|ication)\b.
sp800-218.json,Artifact: A piece of evidence or data that provides records of secure software development practices.,Applicable to all software development processes.,Organizations should configure tools to generate artifacts in support of secure software development practices.,NIST Special Publication 800-218,Action/Tool Use,Memory Update,Primary cues: \bconfigure|configuration\b.
sp800-218.json,Multi-factor authentication: A security mechanism that requires more than one form of verification to gain access.,Applicable to all access points to development endpoints.,Organizations should require multi-factor authentication for all access to development endpoints and development resources.,NIST Special Publication 800-218,Evaluation/Reflection,,Primary cues: \bverif(?:y|ication)\b.
sp800-218.json,Risk modeling: A process used to assess security risks by identifying potential threats and vulnerabilities.,Applicable to all software development teams within the organization.,"Use forms of risk modeling – such as threat modeling, attack modeling, or attack surface mapping – to help assess the security risk for the software.","BSAFSS: SC.1 || BSIMM: AM1.2, AM1.3, AM1.5, AM2.1, AM2.2, AM2.5, AM2.6, AM2.7, SFD2.2, AA1.1, AA1.2, AA1.3, AA2.1 || EO14028: 4e(ix) || IDASOAR: 1 || IEC62443: SM-4, SR-1, SR-2, SD-1 || IR8397: 2.1 || ISO27034: 7.3.3 || MSSDL: 4 || NISTCSF: ID.RA || OWASPASVS: 1.1.2, 1.2, 1.4, 1.6, 1.8, 1.9, 1.11, 2, 3, 4, 6, 8, 9, 11, 12, 13 || OWASPMASVS: 1.6, 1.8, 2, 3, 4, 5, 6 || OWASPSAMM: TA1-A, TA1-B, TA3-B, DR1-A || PCISSLC: 3.2, 3.3 || SCAGILE: Tasks Requiring the Help of Security Experts 3 || SCFPSSD: Threat Modeling || SCTTM: Entire guide || SP80053: SA-8, SA-11(2), SA-11(6), SA-15(5) || SP800160: 3.3.4, 3.4.5 || SP800161: SA-8, SA-11(2), SA-11(6), SA-15(5) || SP800181: T0038, T0062; K0005, K0009, K0038, K0039, K0070, K0080, K0119, K0147, K0149, K0151, K0152, K0160, K0161, K0162, K0165, K0297, K0310, K0344, K0362, K0487, K0624; S0006, S0009, S0022, S0078, S0171, S0229, S0248; A0092, A0093, A0107",Reasoning/Planning,Evaluation/Reflection,"Primary cues: \bthreat modeling\b, \brisk modeling\b, \battack surface\b."
sp800-218.json,Security requirements: Specifications that define the security controls and measures that must be implemented in software.,Applicable to all software development teams within the organization.,Identify and evaluate the security requirements for the software; determine what security risks the software is likely to face during operation and how the software’s design and architecture should mitigate those risks.,"BSAFSS: SC.1 || BSIMM: AA1.1, AA1.2, AA1.3, AA2.1, AA3.1 || EO14028: 4e(iv), 4e(v), 4e(ix) || IEC62443: SM-2, SR-2, SR-5, SD-3, SD-4, SI-2 || ISO27034: 7.3.3 || OWASPASVS: 1.1.5 || OWASPSAMM: DR1-A, DR1-B || PCISSLC: 3.2 || SP800181: T0328; K0038, K0039, K0070, K0080, K0119, K0152, K0153, K0161, K0165, K0172, K0297; S0006, S0009, S0022, S0036, S0141, S0171",Reasoning/Planning,,"Primary cues: \bsecurity requirements?\b, \barchitecture\b."
sp800-218.json,Software components: Parts of software that can be reused or integrated into other software applications.,Applicable to all software development teams within the organization.,"Acquire and maintain well-secured software components (e.g., software libraries, modules, middleware, frameworks) from commercial, open-source, and other third-party developers for use by the organization’s software.","BSAFSS: SM.2 || BSIMM: SFD2.1, SFD3.2, SR2.4, SR3.1, SE3.6 || CNCFSSCP: Securing Materials—Verification || EO14028: 4e(iii), 4e(vi), 4e(ix), 4e(x) || IDASOAR: 19 || IEC62443: SM-9, SM-10 || MSSDL: 6 || NISTCSF: ID.SC-2 || OWASPASVS: 1.1.6 || OWASPSAMM: SA1-A || OWASPSCVS: 4 || SCSIC: Vendor Sourcing Integrity Controls || SCTPC: MAINTAIN || SP80053: SA-4, SA-5, SA-8(3), SA-10(6), SR-3, SR-4 || SP800161: SA-4, SA-5, SA-8(3), SA-10(6), SR-3, SR-4 || SP800181: K0039",Memory Update,Evaluation/Reflection,Primary cues: \bmaintain\b.
sp800-218.json,Vulnerability: A weakness in a system that can be exploited by threats to gain unauthorized access or cause harm.,Applicable to all software development teams within the organization.,Regularly check whether there are publicly known vulnerabilities in the software modules and services that vendors have not yet fixed.,"BSAFSS: SC.3-1, SM.2-1, SM.2-2, SM.2-3, TV.2, TV.3 || BSIMM: CP3.2, SR2.4, SR3.1, SR3.2, SE2.4, SE3.6 || CNCFSSCP: Securing Materials—Verification, Automation || EO14028: 4e(iii), 4e(iv), 4e(vi), 4e(ix), 4e(x) || IDASOAR: 21 || IEC62443: SI-1, SM-9, SM-10, DM-1 || IR8397: 2.11 || MSSDL: 7 || NISTCSF: ID.SC-4, PR.DS-6 || NISTLABEL: 2.2.2.2 || OWASPASVS: 10, 14.2 || OWASPMASVS: 7.5 || OWASPSAMM: TA3-A, SR3-B || OWASPSCVS: 4, 5, 6 || PCISSLC: 3.2, 3.4, 4.1 || SCAGILE: Tasks Requiring the Help of Security Experts 8 || SCFPSSD: Manage Security Risk Inherent in the Use of Third-Party Components || SCSIC: Vendor Sourcing Integrity Controls, Peer Reviews and Security Testing || SCTPC: MAINTAIN, ASSESS || SP80053: SA-9, SR-3, SR-4, SR-4(3), SR-4(4) || SP800160: 3.1.2, 3.3.8 || SP800161: SA-4, SA-8, SA-9, SA-9(3), SR-3, SR-4, SR-4(3), SR-4(4) || SP800181: SP-DEV-002; K0153, K0266; S0298",Evaluation/Reflection,,"Primary cues: \bverif(?:y|ication)\b, \btest(?:ing)?\b, \bassess(?:ment)?\b."
